# Di chuyển & hỏi đường
bus|bʌs|xe buýt|Which bus goes downtown?
humid|ˈhjuːmɪd|ẩm / oi ẩm|It's very humid today.
rain|reɪn|mưa|I think it's going to rain.
snow|snoʊ|tuyết / tuyết rơi|There's snow on the mountain.
storm|stɔrm|bão / giông|A storm is coming.
temperature|ˈtemprətʃər|nhiệt độ|What's the temperature outside?
forecast|ˈfɔrkæst|dự báo|The forecast says rain tomorrow.
season|ˈsiːzən|mùa|What's your favorite season?
spring|sprɪŋ|mùa xuân|Flowers bloom in spring.
summer|ˈsʌmər|mùa hè|We visit the beach in summer.
fall|fɔl|mùa thu (Mỹ)|The leaves change color in fall.
winter|ˈwɪntər|mùa đông|It gets cold in winter.
beach|biːtʃ|bãi biển|Let's go to the beach.
mountain|ˈmaʊntən|núi|We can see the mountain from here.
river|ˈrɪvər|sông|There's a path along the river.
park|pɑrk|công viên|The park is open today.
tree|triː|cây|Let's sit under that tree.
# Cảm xúc & tính cách
happy|ˈhæpi|vui / hạnh phúc|I'm happy to hear that.
sad|sæd|buồn|I feel sad today.
excited|ɪkˈsaɪtɪd|háo hức|I'm excited about the trip.
worried|ˈwɝid|lo lắng|I'm worried about the exam.
nervous|ˈnɝvəs|hồi hộp / căng thẳng|I get nervous before presentations.
relaxed|rɪˈlækst|thư giãn|I feel relaxed after a walk.
tired|ˈtaɪrd|mệt|I'm a bit tired.
bored|bɔrd|cảm thấy chán|I'm bored. Let's do something.
angry|ˈæŋɡri|tức giận|He's angry about the mistake.
upset|ʌpˈset|buồn bực|You seem upset. Are you okay?
surprised|sərˈpraɪzd|ngạc nhiên|I was surprised by the news.
confused|kənˈfjuːzd|bối rối / chưa hiểu|I'm confused about the instructions.
proud|praʊd|tự hào|I'm proud of my progress.
shy|ʃaɪ|ngại ngùng|I'm shy around new people.
friendly|ˈfrendli|thân thiện|Everyone here is friendly.
kind|kaɪnd|tốt bụng|That was kind of you.
helpful|ˈhelpfəl|hay giúp đỡ / hữu ích|The staff were helpful.
patient|ˈpeɪʃənt|kiên nhẫn|Thanks for being patient.
honest|ˈɑnɪst|trung thực|Please be honest with me.
funny|ˈfʌni|hài hước|That story was funny.
quiet|ˈkwaɪət|yên lặng / ít nói|She's quiet in large groups.
confident|ˈkɑnfɪdənt|tự tin|I feel more confident now.
feel like|fiːl laɪk|muốn; theo sau danh từ hoặc V-ing|I feel like watching a movie.
in the mood|ɪn ðə muːd|có hứng; dùng for hoặc to + động từ|I'm in the mood for music.
look forward to|lʊk ˈfɔrwərd tuː|mong đợi; theo sau danh từ hoặc V-ing|I look forward to seeing you.
# Cơ thể & nhu cầu sức khỏe
head|hed|đầu|My head hurts.
eye|aɪ|mắt|There's something in my eye.
ear|ɪr|tai|My left ear hurts.
nose|noʊz|mũi|My nose is blocked.
mouth|maʊθ|miệng|Open your mouth, please.
tooth|tuːθ|răng; số nhiều teeth|This tooth hurts.
hand|hænd|bàn tay|Please wash your hands.
arm|ɑrm|cánh tay|My arm feels sore.
leg|leɡ|chân|My legs are tired.
foot|fʊt|bàn chân; số nhiều feet|My foot hurts when I walk.
back|bæk|lưng|My back feels better today.
stomach|ˈstʌmək|bụng / dạ dày|My stomach hurts.
hungry|ˈhʌŋɡri|đói|I'm hungry. Is lunch ready?
thirsty|ˈθɝsti|khát|I'm thirsty. Can I have water?
sleepy|ˈsliːpi|buồn ngủ|I'm getting sleepy.
sick|sɪk|ốm / không khỏe|I feel sick today.
headache|ˈhedeɪk|đau đầu|I have a headache.
fever|ˈfiːvər|sốt|I think I have a fever.
cough|kɔf|ho / cơn ho|I've had a cough since Monday.
sore throat|sɔr θroʊt|đau họng|I have a sore throat.
hurt|hɝt|đau / làm đau|Does it hurt here?
doctor|ˈdɑktər|bác sĩ|I'd like to see a doctor.
pharmacy|ˈfɑrməsi|hiệu thuốc|Where's the nearest pharmacy?
rest|rest|nghỉ ngơi|I need some rest.
feel better|fiːl ˈbetər|thấy khỏe hơn / dễ chịu hơn|I feel better today.
